Recipes_EN                                     = {
Recipe_Repair_Walther_PP_with_spare_parts      ="Repair Walther PP with spare parts",
Recipe_Repair_Striker_with_spare_parts         ="Repair Striker with spare parts",
Recipe_Repair_Beretta_M9_with_spare_parts      ="Repair Beretta M9 with spare parts",
Recipe_Repair_AI_AWP_with_spare_parts          ="Repair AI AWP with spare parts",
Recipe_Repair_Colt_Python_with_spare_parts     ="Repair Colt Python with spare parts",
Recipe_Repair_Hi-Power_with_spare_parts        ="Repair Hi-Power with spare parts",
Recipe_Repair_Daewoo_K2_D200_with_spare_parts  ="Repair Daewoo K2 D200 with spare parts",
Recipe_Repair_Glock17_with_spare_parts         ="Repair Glock17 with spare parts",
Recipe_Repair_Ithaka_M37_with_spare_parts      ="Repair Ithaka M37 with spare parts",
Recipe_Repair_Desert_Eagle_with_spare_parts    ="Repair Desert Eagle with spare parts",
Recipe_Repair_Hecate_II_with_spare_parts       ="Repair Hecate II with spare parts",
Recipe_Repair_G3A3_with_spare_parts            ="Repair G3A3 with spare parts",
Recipe_Repair_M1A_with_spare_parts             ="Repair M1A with spare parts",
Recipe_Repair_Mini-14_with_spare_parts         ="Repair Mini-14 with spare parts",
Recipe_Repair_L85A1_with_spare_parts           ="Repair L85A1 with spare parts",
Recipe_Repair_M82A1_with_spare_parts           ="Repair M82A1 with spare parts",
Recipe_Repair_M249_Para_with_spare_parts       ="Repair M249 Para with spare parts",
Recipe_Repair_M40_with_spare_parts             ="Repair M40 with spare parts",
Recipe_Repair_Marlin_Model_60_with_spare_parts ="Repair Marlin Model_60 with spare parts",
Recipe_Repair_M4_with_spare_parts              ="Repair M4 with spare parts",
Recipe_Repair_PK_with_spare_parts              ="Repair PK with spare parts",
Recipe_Repair_P226_with_spare_parts            ="Repair P226 with spare parts",
Recipe_Repair_M1928A1_with_spare_parts         ="Repair M1928A1 with spare parts",
Recipe_Repair_M60_with_spare_parts             ="Repair M60 with spare parts",
Recipe_Repair_RPK-74_with_spare_parts          ="Repair RPK-74 with spare parts",
Recipe_Repair_SPAS-12_with_spare_parts         ="Repair SPAS-12 with spare parts",
Recipe_Repair_SG552_Commando_with_spare_parts  ="Repair SG552 Commando with spare parts",
Recipe_Repair_MP5SD2_with_spare_parts          ="Repair MP5SD2 with spare parts",
Recipe_Repair_Milkor_MGL_with_spare_parts      ="Repair Milkor MGL with spare parts",
Recipe_Repair_M14_with_spare_parts             ="Repair M14 with spare parts",
Recipe_Repair_VSS_with_spare_parts             ="Repair VSS with spare parts",
Recipe_Repair_ASVAL_with_spare_parts           ="Repair ASVAL with spare parts",
Recipe_Repair_AK-74_with_spare_parts           ="Repair AK-74 with spare parts",
Recipe_Repair_AK-74U_with_spare_parts          ="Repair AK-74U with spare parts",
Recipe_Repair_AK-74M_with_spare_parts          ="Repair AK-74M with spare parts",
Recipe_Repair_SKS_Sawed-off_with_spare_parts   ="Repair SKS Sawed-off with spare parts",
Recipe_Repair_SKS_with_spare_parts             ="Repair SKS with spare parts",
Recipe_Repair_M870_Chromed_with_spare_parts    ="Repair M870 Chromed with spare parts",
Recipe_Repair_M870_with_spare_parts            ="Repair M870 with spare parts",
Recipe_Repair_M870_Sawed-off_with_spare_parts  ="Repair M870 Sawed-off with spare parts",
Recipe_Repair_M1897_with_spare_parts           ="Repair M1897 with spare parts",
Recipe_Repair_M1897_Sawed-off_with_spare_parts ="Repair M1897 Sawed-off with spare parts",
}
