
------ 3631424765 ::  ------

		3388844065::EN::Recipe_ConvertTo223Box = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo223Box = "转换为盒装.223子弹",
		3388844065::EN::Recipe_ConvertToBullets38Box = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertToBullets38Box = "转换为盒装.38子弹",
		3388844065::EN::Recipe_ConvertTo556Box = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo556Box = "转换为盒装5.56mm子弹",
		3388844065::EN::Recipe_ConvertToShotgunShellsBox = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertToShotgunShellsBox = "转换为盒装霰弹枪子弹",
		3388844065::EN::Recipe_ConvertToBullets44Box = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertToBullets44Box = "转换为盒装.44子弹",
		3388844065::EN::Recipe_ConvertTo308Box = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo308Box = "转换为盒装.308子弹",
		3388844065::EN::Recipe_ConvertToBullets45Box = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertToBullets45Box = "转换为盒装.45子弹",
		3388844065::EN::Recipe_ConvertToBullets9mmBox = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertToBullets9mmBox = "转换为盒装9mm子弹",
		3388844065::EN::Recipe_ConvertToShotgunShells = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertToShotgunShells = "转换为霰弹枪子弹",
		3388844065::EN::Recipe_ConvertTo556Ammo = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo556Ammo = "转换为5.56mm子弹",
		3388844065::EN::Recipe_ConvertTo44MagnumBullets = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo44MagnumBullets = "转换为.44子弹",
		3388844065::EN::Recipe_ConvertTo9mmRounds = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo9mmRounds = "转换为9mm子弹",
		3388844065::EN::Recipe_ConvertTo38SpecialBullets = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo38SpecialBullets = "转换为.38子弹",
		3388844065::EN::Recipe_ConvertTo308Ammo = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo308Ammo = "转换为.308子弹",
		3388844065::EN::Recipe_ConvertTo45Auto = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo45Auto = "转换为.45子弹",
		3388844065::EN::Recipe_ConvertTo223Ammo = "======Original Text Missing====",
		3388844065::CN::Recipe_ConvertTo223Ammo = "转换为.223子弹",


------ 3416208765 :: Bath Towels Overhaul ------

		3416208765::EN::Base.BathTowel_Crafted = "Handmade Bath Towel",
		3416208765::CN::Base.BathTowel_Crafted = "",
		3416208765::EN::Base.DustCloth = "Dust Cloth",
		3416208765::CN::Base.DustCloth = "",
		3416208765::EN::Base.HandTowel = "Hand Towel",
		3416208765::CN::Base.HandTowel = "",
		3416208765::EN::IGUI_BathTowel = "Bath Towel",
		3416208765::CN::IGUI_BathTowel = "",
		3416208765::EN::IGUI_BathTowelLuxury = "Luxury Bath Towel",
		3416208765::CN::IGUI_BathTowelLuxury = "",
		3416208765::EN::IGUI_BathTowelPoor = "Rough Bath Towel",
		3416208765::CN::IGUI_BathTowelPoor = "",
3416208765::EN::IGUI_BathTowelsOverhaul_Absorbency = "Water Absorbency",
3416208765::CN::IGUI_BathTowelsOverhaul_Absorbency = "吸水率",
3416208765::EN::IGUI_BathTowelsOverhaul_BodyWetness = "Body Wetness",
3416208765::CN::IGUI_BathTowelsOverhaul_BodyWetness = "身体潮湿度",
3416208765::EN::IGUI_BathTowelsOverhaul_Clean = "Clean",
3416208765::CN::IGUI_BathTowelsOverhaul_Clean = "干净",
3416208765::EN::IGUI_BathTowelsOverhaul_Dirty = "Dirty",
3416208765::CN::IGUI_BathTowelsOverhaul_Dirty = "脏",
3416208765::EN::IGUI_BathTowelsOverhaul_Dry = "Dry",
3416208765::CN::IGUI_BathTowelsOverhaul_Dry = "干燥",
3416208765::EN::IGUI_BathTowelsOverhaul_Filthy = "Filthy",
3416208765::CN::IGUI_BathTowelsOverhaul_Filthy = "污秽",
3416208765::EN::IGUI_BathTowelsOverhaul_Good = "Good",
3416208765::CN::IGUI_BathTowelsOverhaul_Good = "好",
3416208765::EN::IGUI_BathTowelsOverhaul_Great = "Great",
3416208765::CN::IGUI_BathTowelsOverhaul_Great = "很好",
3416208765::EN::IGUI_BathTowelsOverhaul_Grubby = "Grubby",
3416208765::CN::IGUI_BathTowelsOverhaul_Grubby = "油腻",
3416208765::EN::IGUI_BathTowelsOverhaul_Moist = "Moist",
3416208765::CN::IGUI_BathTowelsOverhaul_Moist = "湿润",
3416208765::EN::IGUI_BathTowelsOverhaul_Normal = "Normal",
3416208765::CN::IGUI_BathTowelsOverhaul_Normal = "正常",
3416208765::EN::IGUI_BathTowelsOverhaul_NotGood = "Not Good",
3416208765::CN::IGUI_BathTowelsOverhaul_NotGood = "不好",
3416208765::EN::IGUI_BathTowelsOverhaul_NotWetness = "Not wet enough to dry yourself!",
3416208765::CN::IGUI_BathTowelsOverhaul_NotWetness = "不够湿, 无需擦干自己!",
3416208765::EN::IGUI_BathTowelsOverhaul_Slightly = "Slightly Dirt",
3416208765::CN::IGUI_BathTowelsOverhaul_Slightly = "轻微脏污",
3416208765::EN::IGUI_BathTowelsOverhaul_Soaked = "Soaked",
3416208765::CN::IGUI_BathTowelsOverhaul_Soaked = "湿透",
3416208765::EN::IGUI_BathTowelsOverhaul_TowelBroken = "This towel is in tatters!",
3416208765::CN::IGUI_BathTowelsOverhaul_TowelBroken = "这条毛巾钛破旧!",
3416208765::EN::IGUI_BathTowelsOverhaul_TowelTooBlood = "Too bloody to use!",
3416208765::CN::IGUI_BathTowelsOverhaul_TowelTooBlood = "占满血迹, 无法使用!",
3416208765::EN::IGUI_BathTowelsOverhaul_TowelTooDirty = "Too dirty to use!",
3416208765::CN::IGUI_BathTowelsOverhaul_TowelTooDirty = "太脏了, 无法使用!",
3416208765::EN::IGUI_BathTowelsOverhaul_TowelTooWet = "Too wet to use!",
3416208765::CN::IGUI_BathTowelsOverhaul_TowelTooWet = "太湿了, 无法使用!",
3416208765::EN::IGUI_BathTowelsOverhaul_TowelWetness = "Towel Wetness",
3416208765::CN::IGUI_BathTowelsOverhaul_TowelWetness = "毛巾湿润度",
3416208765::EN::IGUI_BathTowelsOverhaul_Wet = "Wet",
3416208765::CN::IGUI_BathTowelsOverhaul_Wet = "潮湿",
		3416208765::EN::Recipe_KnitBathTowel = "Knit Bath Towel",
		3416208765::CN::Recipe_KnitBathTowel = "",
		3416208765::EN::Recipe_RipDustCloth = "Rip Dust Cloth",
		3416208765::CN::Recipe_RipDustCloth = "",
		3416208765::EN::Recipe_RipTowel = "Rip Towel",
		3416208765::CN::Recipe_RipTowel = "",
		3416208765::EN::Recipe_SewDustCloth = "Sew Dust Cloth",
		3416208765::CN::Recipe_SewDustCloth = "",
		3416208765::EN::Recipe_SewDustClothFromHandTowel = "Sew dust cloth form hand towel",
		3416208765::CN::Recipe_SewDustClothFromHandTowel = "",
3416208765::EN::Sandbox_BathTowelsOverhaul = "Bath Towels Overhaul",
3416208765::CN::Sandbox_BathTowelsOverhaul = "浴室毛巾大修",
3416208765::EN::Sandbox_BathTowelsOverhaul_AvailableEvenIfTooDirt = "Available Even If Too Dirt",
3416208765::CN::Sandbox_BathTowelsOverhaul_AvailableEvenIfTooDirt = "脏污时仍可使用",
3416208765::EN::Sandbox_BathTowelsOverhaul_AvailableEvenIfTooDirt_tooltip = "If True, the towel can be used with DrySelf even if it grimed. If False, it will become unusable if it is too dirty. <LINE> <RED> Note: Using a grimes towel will make it even grimer and increase your unhappiness.",
3416208765::CN::Sandbox_BathTowelsOverhaul_AvailableEvenIfTooDirt_tooltip = "开启后, 即使毛巾脏污仍可执行擦干动作. 关闭后, 毛巾过脏时将无法使用. <LINE> <RED> 警告: 使用脏毛巾会加剧污损程度并增加角色不悦值.",
3416208765::EN::Sandbox_BathTowelsOverhaul_DustClothSpawn = "Spawn Dust Cloth",
3416208765::CN::Sandbox_BathTowelsOverhaul_DustClothSpawn = "生成抹布",
3416208765::EN::Sandbox_BathTowelsOverhaul_DustClothSpawnProbabilty = "Dust Cloth Spawn Probabilty",
3416208765::CN::Sandbox_BathTowelsOverhaul_DustClothSpawnProbabilty = "抹布生成概率",
3416208765::EN::Sandbox_BathTowelsOverhaul_DustClothSpawnProbabilty_tooltip = "This value is a divisor for the Sponge value. 1 is the same probability as a bath towel. 2 is half the probability.",
3416208765::CN::Sandbox_BathTowelsOverhaul_DustClothSpawnProbabilty_tooltip = "此值为海绵生成概率的除数: 1表示与海绵同概率, 2表示概率减半.",
3416208765::EN::Sandbox_BathTowelsOverhaul_DustClothSpawn_tooltip = "Whether dust cloth spawn in the world. It spawns in the same place as Sponge.",
3416208765::CN::Sandbox_BathTowelsOverhaul_DustClothSpawn_tooltip = "是否在世界中生成抹布. 其生成位置与海绵相同.",
3416208765::EN::Sandbox_BathTowelsOverhaul_HandTowelsSpawn = "Spawn Hand Towel",
3416208765::CN::Sandbox_BathTowelsOverhaul_HandTowelsSpawn = "生成手巾",
3416208765::EN::Sandbox_BathTowelsOverhaul_HandTowelsSpawnProbabilty = "Hand Towel Spawn Probabilty",
3416208765::CN::Sandbox_BathTowelsOverhaul_HandTowelsSpawnProbabilty = "手巾生成概率",
3416208765::EN::Sandbox_BathTowelsOverhaul_HandTowelsSpawnProbabilty_tooltip = "This value is a divisor for the Bathtowel value. 1 is the same probability as a bath towel. 2 is half the probability.",
3416208765::CN::Sandbox_BathTowelsOverhaul_HandTowelsSpawnProbabilty_tooltip = "此值为浴巾生成概率的除数: 1表示与浴巾同概率, 2表示概率减半.",
3416208765::EN::Sandbox_BathTowelsOverhaul_HandTowelsSpawn_tooltip = "Whether hand towel spawn in the world. It spawns in the same place as Bath Towel.",
3416208765::CN::Sandbox_BathTowelsOverhaul_HandTowelsSpawn_tooltip = "是否在世界中生成手巾. 其生成位置与浴巾相同.",
3416208765::EN::Sandbox_BathTowelsOverhaul_MoreRandomAbsorbency = "More Random Absorbency",
3416208765::CN::Sandbox_BathTowelsOverhaul_MoreRandomAbsorbency = "强化吸水性随机",
3416208765::EN::Sandbox_BathTowelsOverhaul_MoreRandomAbsorbency_tooltip = "The absorbency of bath towels is further randomized. <LINE> (Only work if Bath Towel Quality is True)",
3416208765::CN::Sandbox_BathTowelsOverhaul_MoreRandomAbsorbency_tooltip = "浴巾吸水性将进一步随机化. <LINE> (仅当开启随机毛巾品质时生效)",
3416208765::EN::Sandbox_BathTowelsOverhaul_RandomBathTowelQuality = "Bath Towel Quality",
3416208765::CN::Sandbox_BathTowelsOverhaul_RandomBathTowelQuality = "随机毛巾品质",
		3416208765::EN::Sandbox_BathTowelsOverhaul_RandomBathTowelQualityName = "Bath Towel Quality Name (not work in MP)",
		3416208765::CN::Sandbox_BathTowelsOverhaul_RandomBathTowelQualityName = "显示品质名称",
3416208765::EN::Sandbox_BathTowelsOverhaul_RandomBathTowelQualityName_tooltip = "Whether to overwrite the display name according to the bath towel's absorbency. <LINE> (Only work if Bath Towel Quality is True)",
3416208765::CN::Sandbox_BathTowelsOverhaul_RandomBathTowelQualityName_tooltip = "是否根据浴巾吸水性覆盖其显示名称. <LINE> (仅当开启随机毛巾品质时生效)",
3416208765::EN::Sandbox_BathTowelsOverhaul_RandomBathTowelQuality_tooltip = "Whether to give a random wet absorption when generating bath towels. If False, all bath towels will have a absobency of 30.",
3416208765::CN::Sandbox_BathTowelsOverhaul_RandomBathTowelQuality_tooltip = "是否在生成浴巾时随机赋予吸水值. 若关闭, 所有浴巾吸水性固定为30.",
3416208765::EN::Sandbox_BathTowelsOverhaul_TowelConditionMayDeteriorate = "Towel May Deteriorate",
3416208765::CN::Sandbox_BathTowelsOverhaul_TowelConditionMayDeteriorate = "启用毛巾损耗",
3416208765::EN::Sandbox_BathTowelsOverhaul_TowelConditionMayDeteriorate_tooltip = "Whether the towels likely to deteriorate with use. <LINE> (The rate and chance of deterioration is very low.)",
3416208765::CN::Sandbox_BathTowelsOverhaul_TowelConditionMayDeteriorate_tooltip = "毛巾使用后是否可能出现损耗. <LINE> (损耗概率与速率极低)",
3416208765::EN::Sandbox_BathTowelsOverhaul_WetnessDecrease = "Decreased Wetness Decrease",
3416208765::CN::Sandbox_BathTowelsOverhaul_WetnessDecrease = "自然干燥减弱",
		3416208765::EN::Sandbox_BathTowelsOverhaul_WetnessDecrease_tooltip = "Decreases the multiplier for how quickly the player's wetness dries naturally. <LINE> True = 0.002, False = 0.01 (vanilla)",
		3416208765::CN::Sandbox_BathTowelsOverhaul_WetnessDecrease_tooltip = "降低角色自然干燥的速度倍率. <LINE> 开启=0.005, 关闭=0.01 (原版)",
3416208765::EN::Sandbox_BathTowelsOverhaul_WetnessIncrease = "Increaseed Wetness Increase",
3416208765::CN::Sandbox_BathTowelsOverhaul_WetnessIncrease = "潮湿增幅提升",
3416208765::EN::Sandbox_BathTowelsOverhaul_WetnessIncrease_tooltip = "Increases the multiplier of how quickly the player gets wet from rain or sweat. <LINE> True = 0.025, False = 0.015 (vanilla)",
3416208765::CN::Sandbox_BathTowelsOverhaul_WetnessIncrease_tooltip = "增加角色因雨水或汗水而潮湿的速度倍率. <LINE> 开启=0.025, 关闭=0.015 (原版)",
3416208765::EN::Sandbox_BathTowelsOverhaul_WipesBloodAndDirt = "Wipes Blood And Dirt",
3416208765::CN::Sandbox_BathTowelsOverhaul_WipesBloodAndDirt = "清除血迹污垢",
3416208765::EN::Sandbox_BathTowelsOverhaul_WipesBloodAndDirt_tooltip = "Whether the towel absorbs blood and dirt on the body during Dry Self.",
3416208765::CN::Sandbox_BathTowelsOverhaul_WipesBloodAndDirt_tooltip = "执行擦干动作时, 毛巾是否吸收身上的血迹和污垢.",
3416208765::EN::Tooltip_BathTowelsOverhaulTowel = "Use to dry self when wet.",
3416208765::CN::Tooltip_BathTowelsOverhaulTowel = "用于在潮湿时擦干自己.",
3416208765::EN::Tooltip_BathTowelsOverhaulTowelWearable = "A bath towel to wrap around your body.",
3416208765::CN::Tooltip_BathTowelsOverhaulTowelWearable = "一条浴巾, 可包裹身体.",
3416208765::EN::Tooltip_BathTowelsOverhaulTowel_DustCloth = "Use it to clean dirt, with cleaning liquid.",
3416208765::CN::Tooltip_BathTowelsOverhaulTowel_DustCloth = "用它来清洁污垢, 需配合清洁液.",
3416208765::EN::Tooltip_Recipe_RipDustCloth = "Rip the dust cloth to a ripped sheet.",
3416208765::CN::Tooltip_Recipe_RipDustCloth = "将抹布撕裂成碎布片.",
3416208765::EN::Tooltip_Recipe_RipTowel = "Rip the towel into a ripped sheet.",
3416208765::CN::Tooltip_Recipe_RipTowel = "将毛巾撕裂成碎布片.",
3416208765::EN::Tooltip_Recipe_SewDustCloth = "Sew dust cloth for cleaning.",
3416208765::CN::Tooltip_Recipe_SewDustCloth = "缝制抹布用于清洁.",
3416208765::EN::UI_BathTowelsOverhaul_DrySelfContextIcon = "DrySelf Context Menu Icon",
3416208765::CN::UI_BathTowelsOverhaul_DrySelfContextIcon = "擦干自己上下文菜单图标",
3416208765::EN::UI_BathTowelsOverhaul_DrySelfContextTooltip = "DrySelf Context Menu Tooltips",
3416208765::CN::UI_BathTowelsOverhaul_DrySelfContextTooltip = "擦干自己上下文菜单提示",
3416208765::EN::UI_BathTowelsOverhaul_DrySelfNotAfterSay = "Not Say After Dry Self",
3416208765::CN::UI_BathTowelsOverhaul_DrySelfNotAfterSay = "擦干自己后不说话",
		3416208765::EN::UI_BathTowelsOverhaul_DrySelfNotAfterSay_tooltip = "If False, after \"Dry Self\", character will say if the towel is too wet or too dirty.",
		3416208765::CN::UI_BathTowelsOverhaul_DrySelfNotAfterSay_tooltip = "如果为False, 使用"擦干自己"后, 角色会说出毛巾是否太湿或太脏.",
3416208765::EN::UI_BathTowelsOverhaul_IconTexture = "Icon Texture",
3416208765::CN::UI_BathTowelsOverhaul_IconTexture = "图标纹理",
3416208765::EN::UI_BathTowelsOverhaul_TowelAbsorbencyOnTooltip = "Towel Absorbency on Tooltip",
3416208765::CN::UI_BathTowelsOverhaul_TowelAbsorbencyOnTooltip = "在提示中显示吸水性",
3416208765::EN::UI_BathTowelsOverhaul_TowelAbsorbencyOnTooltip_tooltip = "Afficher la valeur d'absorption d'eau dans l'infobulle de l'article d'inventaire de la serviette si possible. \n(Cette fonctionnalité nécessite Starlit Lib Mod.)",
3416208765::CN::UI_BathTowelsOverhaul_TowelAbsorbencyOnTooltip_tooltip = "如果可能, 在毛巾物品的提示框中显示吸水值. \n (此功能需要 Starlit Lib 模组.)",
3416208765::EN::UI_BathTowelsOverhaul_WipeMySelfMode = "WipeMySelf Mode",
3416208765::CN::UI_BathTowelsOverhaul_WipeMySelfMode = "擦身模式",
		3416208765::EN::UI_BathTowelsOverhaul_WipeMySelfMode_tooltip = "In this mode, even if the body is not wet, if there is dirt or blood on it, \"Dry Self\" will be available. <LINE> *When \"Dry Self\", wetness, dirt, and bloodstains will be wiped off as much as possible from the body. <LINE> (Normally, only up to 20% of the dirt on the body can be wiped off at once.) <LINE> *If the \"Dry Self Context Tooltip\"  is displayed, the player's dirt and blood status will also be displayed. <BR> *In vanilla, dirt and bloodstains on the body do not have much of a negative effect, but other mods may cause dirt and blood to cause health problems or attract zombies, so this is useful in such cases. <LINE> However, you will need to wash your towel more frequently.",
		3416208765::CN::UI_BathTowelsOverhaul_WipeMySelfMode_tooltip = "在此模式下, 即使身体不湿, 如果有污垢或血迹, "擦干自己" 将可用. <LINE> *当使用"擦干自己"时, 会尽可能多地擦除身体的潮湿度、污垢和血迹. <LINE> (通常, 一次只能擦除身体上最多20%的污垢.)<LINE> *如果显示"擦干自己上下文提示", 玩家的污垢和血迹状态也会显示. <BR> *在原版游戏中, 身体污垢和血迹没有太多负面影响, 但其他模组可能导致它们引起健康问题或吸引僵尸, 因此在此类情况下很有用. <LINE> 然而, 你需要更频繁地清洗毛巾.",
3416208765::EN::UI_BathTowelsOverhaul_option_AllowableOnly = "Allowable Only",
3416208765::CN::UI_BathTowelsOverhaul_option_AllowableOnly = "仅在允许时",
3416208765::EN::UI_BathTowelsOverhaul_option_Always = "Always",
3416208765::CN::UI_BathTowelsOverhaul_option_Always = "总是",
3416208765::EN::UI_BathTowelsOverhaul_option_DisplayBar = "Display (value is bar)",
3416208765::CN::UI_BathTowelsOverhaul_option_DisplayBar = "显示 (值为条状)",
3416208765::EN::UI_BathTowelsOverhaul_option_DisplayNumber = "Display (value is number)",
3416208765::CN::UI_BathTowelsOverhaul_option_DisplayNumber = "显示 (值为数字)",
3416208765::EN::UI_BathTowelsOverhaul_option_DisplayText = "Display (value is text)",
