
------ 2959472220 ::  ------

2959472220::CN::IGUI_VehicleNamefr_ca_deville_79_coupe = "劳梅特·霍格 JD",
2959472220::EN::IGUI_VehicleNamefr_ch_3100_51 = "Chevrolet 3100",
2959472220::CN::IGUI_VehicleNamefr_ch_3100_51 = "骑士 拉格诺拉",
2959472220::EN::IGUI_VehicleNamefr_ch_3100_51_offroad = "Chevrolet 3100",
2959472220::CN::IGUI_VehicleNamefr_ch_3100_51_offroad = "骑士 拉格诺拉",
2959472220::EN::IGUI_VehicleNamefr_ch_3100_51_old = "Chevrolet 3100",
2959472220::CN::IGUI_VehicleNamefr_ch_3100_51_old = "骑士 拉格诺拉",
2959472220::EN::IGUI_VehicleNamefr_ch_astro_92 = "Chevrolet Astro",
2959472220::CN::IGUI_VehicleNamefr_ch_astro_92 = "骑士 宇宙",
2959472220::EN::IGUI_VehicleNamefr_ch_belair_55 = "Chevrolet Bel Air",
2959472220::CN::IGUI_VehicleNamefr_ch_belair_55 = "骑士 贝霍尔德",
2959472220::EN::IGUI_VehicleNamefr_ch_belair_55_taxi = "Chevrolet Bel Air",
2959472220::CN::IGUI_VehicleNamefr_ch_belair_55_taxi = "骑士 贝霍尔德",
2959472220::EN::IGUI_VehicleNamefr_ch_blazer_87 = "Chevrolet Blazer",
2959472220::CN::IGUI_VehicleNamefr_ch_blazer_87 = "骑士 科博德",
2959472220::EN::IGUI_VehicleNamefr_ch_blazer_87_mil = "Chevrolet Blazer",
2959472220::CN::IGUI_VehicleNamefr_ch_blazer_87_mil = "骑士 科博德",
2959472220::EN::IGUI_VehicleNamefr_ch_blazer_87_offroad = "Chevrolet Blazer",
2959472220::CN::IGUI_VehicleNamefr_ch_blazer_87_offroad = "骑士 科博德",
2959472220::EN::IGUI_VehicleNamefr_ch_blazer_87_police = "Chevrolet Blazer",
2959472220::CN::IGUI_VehicleNamefr_ch_blazer_87_police = "骑士 科博德",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_71_lb = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_71_lb = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_71_lb_ranger = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_71_lb_ranger = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_71_offroadlb = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_71_offroadlb = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_71_offroadsb = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_71_offroadsb = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_71_sb = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_71_sb = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_87_lb = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_87_lb = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_87_lb_mil = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_87_lb_mil = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_87_offroadlb = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_87_offroadlb = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_87_offroadsb = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_87_offroadsb = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_87_sb = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_87_sb = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_87_utility = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_87_utility = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_87_utility_fire = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_87_utility_fire = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_c10_87_utility_mccoy = "Chevrolet C10",
2959472220::CN::IGUI_VehicleNamefr_ch_c10_87_utility_mccoy = "骑士 D20",
2959472220::EN::IGUI_VehicleNamefr_ch_caprice_87 = "Chevrolet Caprice",
2959472220::CN::IGUI_VehicleNamefr_ch_caprice_87 = "骑士 泰坦",
2959472220::EN::IGUI_VehicleNamefr_ch_caprice_87_police = "Chevrolet Caprice",
2959472220::CN::IGUI_VehicleNamefr_ch_caprice_87_police = "骑士 泰坦",
2959472220::EN::IGUI_VehicleNamefr_ch_caprice_87_taxi = "Chevrolet Caprice",
2959472220::CN::IGUI_VehicleNamefr_ch_caprice_87_taxi = "骑士 泰坦",
2959472220::EN::IGUI_VehicleNamefr_ch_caprice_87_wag = "Chevrolet Caprice",
2959472220::CN::IGUI_VehicleNamefr_ch_caprice_87_wag = "骑士 泰坦",
2959472220::EN::IGUI_VehicleNamefr_ch_chevelle_70 = "Chevrolet Chevelle",
2959472220::CN::IGUI_VehicleNamefr_ch_chevelle_70 = "骑士 布列特",
2959472220::EN::IGUI_VehicleNamefr_ch_chevelle_70_convert = "Chevrolet Chevelle",
2959472220::CN::IGUI_VehicleNamefr_ch_chevelle_70_convert = "骑士 布列特",
2959472220::EN::IGUI_VehicleNamefr_ch_corvette_79 = "Slaymate D6",
2959472220::CN::IGUI_VehicleNamefr_ch_corvette_79 = "杀戮者 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_elcamino_70 = "Chevrolet El Camino",
2959472220::CN::IGUI_VehicleNamefr_ch_elcamino_70 = "骑士 埃尔奇美拉",
2959472220::EN::IGUI_VehicleNamefr_ch_impala_71 = "Chevrolet Impala",
2959472220::CN::IGUI_VehicleNamefr_ch_impala_71 = "骑士 温迪戈",
2959472220::EN::IGUI_VehicleNamefr_ch_montecarlo_83 = "Chevrolet Monte Carlo",
2959472220::CN::IGUI_VehicleNamefr_ch_montecarlo_83 = "骑士 圣奥班",
2959472220::EN::IGUI_VehicleNamefr_ch_montecarlo_83_ttop = "Chevrolet Monte Carlo",
2959472220::CN::IGUI_VehicleNamefr_ch_montecarlo_83_ttop = "骑士 圣奥班",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_ext_lb = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_ext_lb = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_ext_lb_ranger = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_ext_lb_ranger = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_ext_offroadlb = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_ext_offroadlb = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_ext_offroadsb = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_ext_offroadsb = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_ext_sb = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_ext_sb = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_lb = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_lb = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_lb_ranger = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_lb_ranger = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_offroadlb = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_offroadlb = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_offroadsb = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_offroadsb = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_s10_91_sb = "Chevrolet S10",
2959472220::CN::IGUI_VehicleNamefr_ch_s10_91_sb = "骑士 D6",
2959472220::EN::IGUI_VehicleNamefr_ch_stepvan_80 = "Chevrolet Stepvan",
2959472220::CN::IGUI_VehicleNamefr_ch_stepvan_80 = "骑士 运输者",
2959472220::EN::IGUI_VehicleNamefr_ch_stepvan_80_police = "Chevrolet Stepvan",
2959472220::CN::IGUI_VehicleNamefr_ch_stepvan_80_police = "骑士 运输者",
2959472220::EN::IGUI_VehicleNamefr_ch_suburban_87 = "Chevrolet Suburban",
2959472220::CN::IGUI_VehicleNamefr_ch_suburban_87 = "骑士 卡尼弗克斯",
2959472220::EN::IGUI_VehicleNamefr_ch_suburban_87_offroad = "Chevrolet Suburban",
2959472220::CN::IGUI_VehicleNamefr_ch_suburban_87_offroad = "骑士 卡尼弗克斯",
2959472220::EN::IGUI_VehicleNamefr_da_240z_73 = "Datsun 240z",
2959472220::CN::IGUI_VehicleNamefr_da_240z_73 = "洛桑 140x",
2959472220::EN::IGUI_VehicleNamefr_do_charger_69 = "Dodge Charger",
2959472220::CN::IGUI_VehicleNamefr_do_charger_69 = "冲刺 闪电",
2959472220::EN::IGUI_VehicleNamefr_do_charger_69_daytona = "Dodge Charger",
2959472220::CN::IGUI_VehicleNamefr_do_charger_69_daytona = "冲刺 闪电",
2959472220::EN::IGUI_VehicleNamefr_do_charger_69_general = "The General",
2959472220::CN::IGUI_VehicleNamefr_do_charger_69_general = "将军",
2959472220::EN::IGUI_VehicleNamefr_do_ram_90_lb = "Dodge Ram",
2959472220::CN::IGUI_VehicleNamefr_do_ram_90_lb = "冲刺 巴克",
2959472220::EN::IGUI_VehicleNamefr_do_ram_90_moving = "Dodge Ram",
2959472220::CN::IGUI_VehicleNamefr_do_ram_90_moving = "冲刺 巴克",
2959472220::EN::IGUI_VehicleNamefr_do_ram_90_offroadlb = "Dodge Ram",
2959472220::CN::IGUI_VehicleNamefr_do_ram_90_offroadlb = "冲刺 巴克",
2959472220::EN::IGUI_VehicleNamefr_do_ram_90_offroadsb = "Dodge Ram",
2959472220::CN::IGUI_VehicleNamefr_do_ram_90_offroadsb = "冲刺 巴克",
2959472220::EN::IGUI_VehicleNamefr_do_ram_90_sb = "Dodge Ram",
2959472220::CN::IGUI_VehicleNamefr_do_ram_90_sb = "冲刺 巴克",
2959472220::EN::IGUI_VehicleNamefr_do_viper_92 = "Dash Mortem",
2959472220::CN::IGUI_VehicleNamefr_do_viper_92 = "飞驰 死亡",
2959472220::EN::IGUI_VehicleNamefr_fl_bounder_86 = "Fleetwood Bounder",
2959472220::CN::IGUI_VehicleNamefr_fl_bounder_86 = "查德威克 麦克",
2959472220::EN::IGUI_VehicleNamefr_fo_7810_89 = "Ford 7810",
2959472220::CN::IGUI_VehicleNamefr_fo_7810_89 = "富兰克林 穆尔",
2959472220::EN::IGUI_VehicleNamefr_fo_b700_prisonlong = "Ford B700",
2959472220::CN::IGUI_VehicleNamefr_fo_b700_prisonlong = "富兰克林 BE70",
2959472220::EN::IGUI_VehicleNamefr_fo_b700_schoollong = "Ford B700",
2959472220::CN::IGUI_VehicleNamefr_fo_b700_schoollong = "富兰克林 BE70",
2959472220::EN::IGUI_VehicleNamefr_fo_b700_schoolshort = "Ford B700",
2959472220::CN::IGUI_VehicleNamefr_fo_b700_schoolshort = "富兰克林 BE70",
2959472220::EN::IGUI_VehicleNamefr_fo_bronco_80 = "Ford Bronco",
2959472220::CN::IGUI_VehicleNamefr_fo_bronco_80 = "富兰克林 公牛",
2959472220::EN::IGUI_VehicleNamefr_fo_bronco_80_offroad = "Ford Bronco",
2959472220::CN::IGUI_VehicleNamefr_fo_bronco_80_offroad = "富兰克林 公牛",
2959472220::EN::IGUI_VehicleNamefr_fo_crownvic_85 = "Ford Crown Victoria LTD",
2959472220::CN::IGUI_VehicleNamefr_fo_crownvic_85 = "富兰克林 克雷斯特 安达尔塔 FTP",
2959472220::EN::IGUI_VehicleNamefr_fo_crownvic_85_coupe = "Ford Crown Victoria LTD",
2959472220::CN::IGUI_VehicleNamefr_fo_crownvic_85_coupe = "富兰克林 克雷斯特 安达尔塔 FTP",
2959472220::EN::IGUI_VehicleNamefr_fo_crownvic_85_police = "Ford Crown Victoria LTD",
2959472220::CN::IGUI_VehicleNamefr_fo_crownvic_85_police = "富兰克林 克雷斯特 安达尔塔 FTP",
2959472220::EN::IGUI_VehicleNamefr_fo_crownvic_85_taxi = "Ford Crown Victoria LTD",
2959472220::CN::IGUI_VehicleNamefr_fo_crownvic_85_taxi = "富兰克林 克雷斯特 安达尔塔 FTP",
2959472220::EN::IGUI_VehicleNamefr_fo_crownvic_85_wag = "Ford Crown Victoria LTD",
2959472220::CN::IGUI_VehicleNamefr_fo_crownvic_85_wag = "富兰克林 克雷斯特 安达尔塔 FTP",
2959472220::EN::IGUI_VehicleNamefr_fo_crownvic_85_wagtaxi = "Ford Crown Victoria LTD",
2959472220::CN::IGUI_VehicleNamefr_fo_crownvic_85_wagtaxi = "富兰克林 克雷斯特 安达尔塔 FTP",
2959472220::EN::IGUI_VehicleNamefr_fo_crownvic_92 = "Ford Crown Victoria",
2959472220::CN::IGUI_VehicleNamefr_fo_crownvic_92 = "富兰克林 克雷斯特 安达尔塔",
2959472220::EN::IGUI_VehicleNamefr_fo_crownvic_92_police = "Ford Crown Victoria",
2959472220::CN::IGUI_VehicleNamefr_fo_crownvic_92_police = "富兰克林 克雷斯特 安达尔塔",
2959472220::EN::IGUI_VehicleNamefr_fo_econoline_86 = "Ford Econoline",
2959472220::CN::IGUI_VehicleNamefr_fo_econoline_86 = "富兰克林 负担者",
2959472220::EN::IGUI_VehicleNamefr_fo_econoline_86_ambulance = "Ford E350 Ambulance",
2959472220::CN::IGUI_VehicleNamefr_fo_econoline_86_ambulance = "富兰克林 负担者 救护车",
2959472220::EN::IGUI_VehicleNamefr_fo_econoline_86_florist = "Ford Econoline",
2959472220::CN::IGUI_VehicleNamefr_fo_econoline_86_florist = "富兰克林 负担者",
2959472220::EN::IGUI_VehicleNamefr_fo_econoline_rv_86 = "Ford E350 Coachman",
2959472220::CN::IGUI_VehicleNamefr_fo_econoline_rv_86 = "富兰克林 旅行者",
2959472220::EN::IGUI_VehicleNamefr_fo_explorer_93 = "Ford Explorer",
2959472220::CN::IGUI_VehicleNamefr_fo_explorer_93 = "富兰克林 克拉克",
2959472220::EN::IGUI_VehicleNamefr_fo_explorer_93_jurassic = "Ford Explorer",
2959472220::CN::IGUI_VehicleNamefr_fo_explorer_93_jurassic = "富兰克林 克拉克",
2959472220::EN::IGUI_VehicleNamefr_fo_f350_80 = "Ford F250",
2959472220::CN::IGUI_VehicleNamefr_fo_f350_80 = "富兰克林 EF25",
2959472220::EN::IGUI_VehicleNamefr_fo_f350_80_offroad = "Ford F250",
2959472220::CN::IGUI_VehicleNamefr_fo_f350_80_offroad = "富兰克林 EF25",
2959472220::EN::IGUI_VehicleNamefr_fo_f350_80_offroadquad = "Ford F250",
2959472220::CN::IGUI_VehicleNamefr_fo_f350_80_offroadquad = "富兰克林 EF25",
2959472220::EN::IGUI_VehicleNamefr_fo_f350_80_quad = "Ford F250",
2959472220::CN::IGUI_VehicleNamefr_fo_f350_80_quad = "富兰克林 EF25",
2959472220::EN::IGUI_VehicleNamefr_fo_f350_ambulance_80 = "Ford F350 Ambulance",
2959472220::CN::IGUI_VehicleNamefr_fo_f350_ambulance_80 = "富兰克林 EF35",
2959472220::EN::IGUI_VehicleNamefr_fo_f700_90_boxlarge = "Ford F700",
2959472220::CN::IGUI_VehicleNamefr_fo_f700_90_boxlarge = "富兰克林 EF70",
2959472220::EN::IGUI_VehicleNamefr_fo_f700_90_boxmed = "Ford F700",
2959472220::CN::IGUI_VehicleNamefr_fo_f700_90_boxmed = "富兰克林 EF70",
2959472220::EN::IGUI_VehicleNamefr_fo_f700_90_dump = "Ford F700",
2959472220::CN::IGUI_VehicleNamefr_fo_f700_90_dump = "富兰克林 EF70",
2959472220::EN::IGUI_VehicleNamefr_fo_f700_90_flatmed = "Ford F700",
2959472220::CN::IGUI_VehicleNamefr_fo_f700_90_flatmed = "富兰克林 EF70",
2959472220::EN::IGUI_VehicleNamefr_fo_f700_90_flatsmall = "Ford F700",
2959472220::CN::IGUI_VehicleNamefr_fo_f700_90_flatsmall = "富兰克林 EF70",
2959472220::EN::IGUI_VehicleNamefr_fo_f700_90_fuel = "Ford F700",
2959472220::CN::IGUI_VehicleNamefr_fo_f700_90_fuel = "富兰克林 EF70",
2959472220::EN::IGUI_VehicleNamefr_fo_f700_90_pickup = "Ford F700",
2959472220::CN::IGUI_VehicleNamefr_fo_f700_90_pickup = "富兰克林 EF70",
2959472220::EN::IGUI_VehicleNamefr_fo_f700_90_propane = "Ford F700",
2959472220::CN::IGUI_VehicleNamefr_fo_f700_90_propane = "富兰克林 EF70",
2959472220::EN::IGUI_VehicleNamefr_fo_falcon_73 = "Ford Falcon",
2959472220::CN::IGUI_VehicleNamefr_fo_falcon_73 = "富兰克林 雷鸟豹",
2959472220::EN::IGUI_VehicleNamefr_fo_falcon_73_pursuit = "Pursuit Special",
2959472220::CN::IGUI_VehicleNamefr_fo_falcon_73_pursuit = "追逐特别版",
2959472220::EN::IGUI_VehicleNamefr_fo_mustang_64 = "Ford Mustang",
2959472220::CN::IGUI_VehicleNamefr_fo_mustang_64 = "富兰克林 纯种马",
2959472220::EN::IGUI_VehicleNamefr_fo_mustang_64_convert = "Ford Mustang",
2959472220::CN::IGUI_VehicleNamefr_fo_mustang_64_convert = "富兰克林 纯种马",
2959472220::EN::IGUI_VehicleNamefr_fo_pinto_73 = "Ford Pinto",
2959472220::CN::IGUI_VehicleNamefr_fo_pinto_73 = "富兰克林 辣椒",
2959472220::EN::IGUI_VehicleNamefr_gm_newlook_70_35foot = "GMC New Look",
2959472220::CN::IGUI_VehicleNamefr_gm_newlook_70_35foot = "TSR 凯纽 50",
2959472220::EN::IGUI_VehicleNamefr_is_nrr_93_boxmed = "Isuzu NRR",
2959472220::CN::IGUI_VehicleNamefr_is_nrr_93_boxmed = "帕祖祖 N5",
2959472220::EN::IGUI_VehicleNamefr_is_nrr_93_dump = "Isuzu NRR",
2959472220::CN::IGUI_VehicleNamefr_is_nrr_93_dump = "帕祖祖 N5",
2959472220::EN::IGUI_VehicleNamefr_is_nrr_93_flatmed = "Isuzu NRR",
2959472220::CN::IGUI_VehicleNamefr_is_nrr_93_flatmed = "帕祖祖 N5",
2959472220::EN::IGUI_VehicleNamefr_is_nrr_93_flatsmall = "Isuzu NRR",
2959472220::CN::IGUI_VehicleNamefr_is_nrr_93_flatsmall = "帕祖祖 N5",
2959472220::EN::IGUI_VehicleNamefr_je_cherokee_93 = "Jeep Cherokee",
2959472220::CN::IGUI_VehicleNamefr_je_cherokee_93 = "拉尔克 杀手之路",
2959472220::EN::IGUI_VehicleNamefr_je_cherokee_93_offroad = "Jeep Cherokee",
2959472220::CN::IGUI_VehicleNamefr_je_cherokee_93_offroad = "拉尔克 杀手之路",
2959472220::EN::IGUI_VehicleNamefr_je_cherokee_93_police = "Lark Pathkiller",
2959472220::CN::IGUI_VehicleNamefr_je_cherokee_93_police = "拉尔克 杀手之路",
