
------ 3389805754 ::  ------

3389805754::EN::ItemName_Base.KnifeSheathPoliceLeg = "Knife Sheath Police Leg",
3389805754::CN::ItemName_Base.KnifeSheathPoliceLeg = "警用刀鞘 (腿部)",
3389805754::EN::ItemName_Base.KnifeSheathTacticalBack = "Knife Sheath Tactical Back",
3389805754::CN::ItemName_Base.KnifeSheathTacticalBack = "战术刀鞘 (背部)",
3389805754::EN::ItemName_Base.KnifeSheathTacticalLeg = "Knife Sheath Tactical Leg",
3389805754::CN::ItemName_Base.KnifeSheathTacticalLeg = "战术刀鞘 (腿部)",
3389805754::EN::ItemName_Base.TacticalKnife = "======Original Text Missing====",
3389805754::CN::ItemName_Base.TacticalKnife = "战术刀",
3389805754::EN::Recipe_Forge_Katana_Blade = "======Original Text Missing====",
3389805754::CN::Recipe_Forge_Katana_Blade = "锻造武士刀刀片",

