ItemName_EN = {
    ItemName_LDK.AguaTonicaAntarctica                       = "Antarctica Tonic Water",
    ItemName_LDK.FysLimaoSicilianoEmpty                     = "Empty FYs Sicilian Lemon Can",
    ItemName_LDK.FysLimaoZero                               = "FYs Lemon Diet",
    ItemName_LDK.FysLimaoZeroEmpty                          = "Empty FYs Lemon Diet",
    ItemName_LDK.Grapette                                   = "Grapette",
    ItemName_LDK.GrapetteEmpty                              = "Empty Grapette Can",
    ItemName_LDK.GuaranaAntarctica                          = "Guarana Antarctica",
    ItemName_LDK.GuaranaAntarcticaEmpty                     = "Empty Guarana Antarctica Can",
    ItemName_LDK.GuaranaAntarcticaBlack                     = "Guarana Antarctica Black",
    ItemName_LDK.GuaranaAntarcticaBlackEmpty                = "Empty Guarana Antarctica Black Can",
    ItemName_LDK.GuaranaCoroa                               = "Guarana Coroa",
    ItemName_LDK.GuaranaCoroaEmpty                          = "Empty Guarana Coroa Can",
    ItemName_LDK.GuaranaCoroaZero                           = "Guarana Coroa Diet",
    ItemName_LDK.GuaranaCoroaZeroEmpty                      = "Empty Guarana Coroa Diet Can",
    ItemName_LDK.GuaranaAntarcticaZero                      = "Guarana Antarctica Diet",
    ItemName_LDK.GuaranaAntarcticaZeroEmpty                 = "Empty Guarana Antarctica Diet Can",
    ItemName_LDK.Pepsi                                      = "Pepsi",
    ItemName_LDK.PepsiEmpty                                 = "Empty Pepsi Can",
    ItemName_LDK.PepsiBlack                                 = "Pepsi Black",
    ItemName_LDK.PepsiBlackEmpty                            = "Empty Pepsi Black Can",
    ItemName_LDK.SodaLimonada                               = "Lemon Soda",
    ItemName_LDK.SodaLimonadaEmpty                          = "Empty Lemon Soda Can",
    ItemName_LDK.SodaLimonadaZero                           = "Lemon Soda Diet",
    ItemName_LDK.SodaLimonadaZeroEmpty                      = "Empty Lemon Soda Diet Can",
    ItemName_LDK.SukitaLaranjaZero                          = "Sukita Orange Diet",
    ItemName_LDK.SukitaLaranjaZeroEmpty                     = "Empty Sukita Orange Diet Can",
    ItemName_LDK.VivaSchinCitrus                            = "Viva Schin Citrus",
    ItemName_LDK.VivaSchinCitrusEmpty                       = "Empty Viva Schin Citrus Can",
    ItemName_LDK.VivaSchinCola                              = "Viva Schin Cola",
    ItemName_LDK.VivaSchinColaEmpty                         = "Empty Viva Schin Cola Can",
    ItemName_LDK.VivaSchinGuarana                           = "Viva Schin Guarana",
    ItemName_LDK.VivaSchinGuaranaEmpty                      = "Empty Viva Schin Guarana Can",
    ItemName_LDK.GuaranaAntarcticaBlackZero                 = "Guarana Antarctica Black Diet",
    ItemName_LDK.GuaranaAntarcticaBlackZeroEmpty            = "Empty Guarana Antarctica Black Diet Can",
    ItemName_LDK.SealedItGuaranaZero                        = "Sealed Guarana It Diet",
    ItemName_LDK.ItGuaranaZero                              = "Guarana It Diet",
    ItemName_LDK.ItGuaranaZeroEmpty                         = "Empty Guarana It Diet Can",
    ItemName_LDK.SealedItLaranja                            = "Sealed It Orange",
    ItemName_LDK.ItLaranja                                  = "It Orange",
    ItemName_LDK.ItLaranjaEmpty                             = "Empty It Orange Can",
    ItemName_LDK.SealedItLemonIce                           = "Sealed It Lemon Ice",
    ItemName_LDK.ItLemonIce                                 = "It Lemon Ice",
    ItemName_LDK.ItLemonIceEmpty                            = "Empty It Lemon Ice Can",
    ItemName_LDK.SealedItCola                               = "Sealed It Cola",
    ItemName_LDK.ItCola                                     = "It Cola",
    ItemName_LDK.ItColaEmpty                                = "Empty It Cola Can",
    ItemName_LDK.SealedItGuarana                            = "Sealed It Guarana",
    ItemName_LDK.ItGuarana                                  = "It Guarana",
    ItemName_LDK.ItGuaranaEmpty                             = "Empty It Guarana Can",
    ItemName_LDK.SealedItLimao                              = "Sealed It Lemon",
    ItemName_LDK.ItLimao                                    = "It Lemon",
    ItemName_LDK.ItLimaoEmpty                               = "Empty It Lemon Can",
    ItemName_LDK.CocaCola                                   = "Coke",
    ItemName_LDK.CocaColaEmpty                              = "Empty Coke Can",
    ItemName_LDK.CocaColaCafe                               = "Coke Coffe",
    ItemName_LDK.CocaColaCafeEmpty                          = "Empty Coke Coffe Can",
    ItemName_LDK.CocaColaZero                               = "Coke Diet",
    ItemName_LDK.CocaColaZeroEmpty                          = "Empty Coke Diet Can",
    ItemName_LDK.FantaGuarana                               = "Fanta Guarana",
    ItemName_LDK.FantaGuaranaEmpty                          = "Empty Fanta Guarana Can",
    ItemName_LDK.FantaGuaranaZero                           = "Fanta Guarana Diet",
    ItemName_LDK.FantaGuaranaZeroEmpty                      = "Empty Fanta Guarana Diet Can",
    ItemName_LDK.FantaLaranja                               = "Fanta Orange",
    ItemName_LDK.FantaLaranjaEmpty                          = "Empty Fanta Orange Can",
    ItemName_LDK.FantaLaranjaZero                           = "Fanta Orange Diet",
    ItemName_LDK.FantaLaranjaZeroEmpty                      = "Empty Fanta Orange Diet Can",
    ItemName_LDK.FantaUva                                   = "Fanta Grape",
    ItemName_LDK.FantaUvaEmpty                              = "Empty Fanta Grape Can",
    ItemName_LDK.FantaUvaZero                               = "Fanta Grape Diet",
    ItemName_LDK.FantaUvaZeroEmpty                          = "Empty Fanta Grape Diet Can",
    ItemName_LDK.FrukiCola                                  = "Fruki Cola",
    ItemName_LDK.FrukiColaEmpty                             = "Empty Fruki Cola Can",
    ItemName_LDK.FrukiGuarana                               = "Fruki Guarana",
    ItemName_LDK.FrukiGuaranaEmpty                          = "Empty Fruki Guarana Can",
    ItemName_LDK.FrukiGuaranaZero                           = "Fruki Guarana Diet",
    ItemName_LDK.FrukiGuaranaZeroEmpty                      = "Empty Fruki Guarana Diet Can",
    ItemName_LDK.FrukiLaranja                               = "Fruki Orange",
    ItemName_LDK.FrukiLaranjaEmpty                          = "Empty Fruki Orange Can",
    ItemName_LDK.Guarapan                                   = "Guarapan",
    ItemName_LDK.GuarapanEmpty                              = "Empty Guarapan Can",
    ItemName_LDK.Kuat                                       = "Kuat",
    ItemName_LDK.KuatEmpty                                  = "Empty Kuat Can",
    ItemName_LDK.KuatZero                                   = "Kuat Diet",
    ItemName_LDK.KuatZeroEmpty                              = "Empty Kuat Diet Can",
    ItemName_LDK.PepsiTwist                                 = "Pepsi Twist",
    ItemName_LDK.PepsiTwistEmpty                            = "Empty Pepsi Twist Can",
    ItemName_LDK.Sprite                                     = "Sprite",
    ItemName_LDK.SpriteEmpty                                = "Empty Sprite Can",
    ItemName_LDK.SpriteZero                                 = "Sprite Diet",
    ItemName_LDK.SpriteZeroEmpty                            = "Empty Sprite Diet Can",
    ItemName_LDK.WewiCola                                   = "Wewi Cola",
    ItemName_LDK.WewiColaEmpty                              = "Empty Wewi Cola Can",
    ItemName_LDK.WewiGuarana                                = "Wewi Guarana",
    ItemName_LDK.WewiGuaranaEmpty                           = "Empty Wewi Guarana Can",
    ItemName_LDK.WewiGuaranaZero                            = "Wewi Guarana Diet",
    ItemName_LDK.WewiGuaranaZeroEmpty                       = "Empty Wewi Guarana Diet Can",
    ItemName_LDK.WewiLaranja                                = "Wewi Orange",
    ItemName_LDK.WewiLaranjaEmpty                           = "Empty Wewi Orange Can",
    ItemName_LDK.Schweppes                                  = "Schweppes",
    ItemName_LDK.SchweppesEmpty                             = "Empty Schweppes Can",
    ItemName_LDK.GuaranaNatu                                = "Guarana Natu",
    ItemName_LDK.GuaranaNatuEmpty                           = "Empty Guarana Natu Can",
    ItemName_LDK.H2OH                                       = "H2OH!",
    ItemName_LDK.H2OHEmpty                                  = "Empty H2OH! Can",
    ItemName_LDK.SchinMiniCola                              = "Mini Schin Cola",
    ItemName_LDK.SchinMiniColaEmpty                         = "Empty Mini Schin Cola",
    ItemName_LDK.SchinMiniGuarana                           = "Mini Schin Guarana",
    ItemName_LDK.SchinMiniGuaranaEmpty                      = "Empty Mini Schin Guarana",
    ItemName_LDK.SchinMiniLaranja                           = "Mini Schin Orange",
    ItemName_LDK.SchinMiniLaranjaEmpty                      = "Empty Mini Schin Orange",
    ItemName_LDK.LaFruitGoiaba                              = "LaFruit Guava",
    ItemName_LDK.LaFruitGoiabaEmpty                         = "Empty LaFruit Guava Can",
    ItemName_LDK.LaFruitCaju                                = "LaFruit Cashew",
    ItemName_LDK.LaFruitCajuEmpty                           = "Empty LaFruit Cashew Can",
    ItemName_LDK.LaFruitMaracuja                            = "LaFruit Passionfruit",
    ItemName_LDK.LaFruitMaracujaEmpty                       = "Empty LaFruit Passionfruit Can",
    ItemName_LDK.LaFruitPessego                             = "LaFruit Peach",
    ItemName_LDK.LaFruitPessegoEmpty                        = "Empty LaFruit Peach Can",
    ItemName_LDK.LaFruitUva                                 = "LaFruit Grape",
    ItemName_LDK.LaFruitUvaEmpty                            = "Empty LaFruit Grape Can", 
    ItemName_LDK.LokalSeal                  = "Lokal Seal", 
    ItemName_LDK.ItGuaranaZeroSeal          = "It Guarana Diet Seal", 
    ItemName_LDK.ItLaranjaSeal              = "It Orange Seal", 
    ItemName_LDK.ItLemonIceSeal             = "It Lemon Ice Seal", 
    ItemName_LDK.ItColaSeal                 = "It Cola Seal", 
    ItemName_LDK.ItGuaranaSeal              = "It Guarana Seal", 
    ItemName_LDK.ItLimaoSeal                = "It Lemon Seal", 
    ItemName_LDK.ItaipavaSeal               = "Itaipava Seal", 
    ItemName_LDK.CrystalSeal                = "Crystal Seal", 
    ItemName_LDK.Itaipava0Seal              = "Itaipava 0,0% Alcohol Seal", 
    ItemName_LDK.SkolBeatsBottle              = "Skol Beats Bottle", 
    ItemName_LDK.SkolBeatsBottleEmpty         = "Empty Skol Beats Bottle", 
    ItemName_LDK.Bottle_SkolBeatsWaterFull    = "Water Bottle", 
    ItemName_LDK.SkolBeats150              = "Skol Beats 150 BPM", 
    ItemName_LDK.SkolBeats150Empty         = "Empty Skol Beats 150 BPM", 
	ItemName_LDK.MiniCocaCola         		= "Mini Coke",
	ItemName_LDK.MiniCocaColaEmpty         	= "Empty Mini Coke",
	ItemName_LDK.MiniCoroaCola         		= "Mini Coroa Cola",
	ItemName_LDK.MiniCoroaColaEmpty         = "Empty Mini Coroa Cola",
	ItemName_LDK.MiniCoroaGuarana           = "Mini Coroa Guarana",
	ItemName_LDK.MiniCoroaGuaranaEmpty      = "Empty Mini Coroa Guarana",
	ItemName_LDK.MiniCoroaLaranja         		= "Mini Coroa Orange",
	ItemName_LDK.MiniCoroaLaranjaEmpty         	= "Empty Mini Coroa Orange",
	ItemName_LDK.MiniCoroaLimao         		= "Mini Coroa Lemon",
	ItemName_LDK.MiniCoroaLimaoEmpty         	= "Empty Mini Coroa Lemon",
	ItemName_LDK.MiniCoroaUva         			= "Mini Coroa Grape",
	ItemName_LDK.MiniCoroaUvaEmpty         		= "Empty Mini Coroa Grape",
	ItemName_LDK.MiniFantaLaranja         		= "Mini Fanta Orange",
	ItemName_LDK.MiniFantaLaranjaEmpty         	= "Empty Mini Fanta Orange",
	ItemName_LDK.MiniFantaUva         			= "Mini Fanta Grape",
	ItemName_LDK.MiniFantaUvaEmpty         		= "Empty Mini Fanta Grape",
	ItemName_LDK.MiniPepsi         				= "Mini Pepsi",
	ItemName_LDK.MiniPepsiEmpty         		= "Empty Mini Pepsi",
	ItemName_LDK.CocaCola2L         			= "Coke Bottle",
	ItemName_LDK.CocaCola2LEmpty         		= "Empty Coke Bottle",
	ItemName_LDK.CocaCola2LWaterFull         	= "Water Bottle",
	ItemName_LDK.CocaColaZero2L         		= "Coke Diet Bottle",
	ItemName_LDK.CocaColaZero2LEmpty         	= "Empty Coke Diet Bottle",
	ItemName_LDK.CocaColaZero2LWaterFull        = "Water Bottle",
	ItemName_LDK.CoroaCola2L         			= "Coroa Cola Bottle",
	ItemName_LDK.CoroaCola2LEmpty         		= "Empty Coroa Cola Bottle",
	ItemName_LDK.CoroaCola2LWaterFull         	= "Water Bottle",
	ItemName_LDK.CoroaGuarana2L         		= "Coroa Guarana Bottle",
	ItemName_LDK.CoroaGuarana2LEmpty         	= "Empty Coroa Guarana Bottle",
	ItemName_LDK.CoroaGuarana2LWaterFull        = "Water Bottle",
	ItemName_LDK.CoroaLaranja2L         		= "Coroa Orange Bottle",
	ItemName_LDK.CoroaLaranja2LEmpty         	= "Empty Coroa Orange Bottle",
	ItemName_LDK.CoroaLaranja2LWaterFull        = "Water Bottle",
	ItemName_LDK.CoroaLimao2L         			= "Coroa Lemon Bottle",
	ItemName_LDK.CoroaLimao2LEmpty         		= "Empty Coroa Lemon Bottle",
	ItemName_LDK.CoroaLimao2LWaterFull         	= "Water Bottle",
	ItemName_LDK.CoroaUva2L         			= "Coroa Grape Bottle",
	ItemName_LDK.CoroaUva2LEmpty         		= "Empty Coroa Grape Bottle",
	ItemName_LDK.CoroaUva2LWaterFull         	= "Water Bottle",
	ItemName_LDK.FantaGuarana2L         		= "Fanta Guarana Bottle",
	ItemName_LDK.FantaGuarana2LEmpty         	= "Empty Fanta Guarana Bottle",
	ItemName_LDK.FantaGuarana2LWaterFull        = "Water Bottle",
	ItemName_LDK.FantaLaranja2L         		= "Fanta Orange Bottle",
	ItemName_LDK.FantaLaranja2LEmpty         	= "Empty Fanta Orange Bottle,
	ItemName_LDK.FantaLaranja2LWaterFull        = "Water Bottle",
	ItemName_LDK.FantaMaracuja2L         		= "Fanta Passionfruit Bottle",
	ItemName_LDK.FantaMaracuja2LEmpty         	= "Empty Fanta Passionfruit Bottle",
	ItemName_LDK.FantaMaracuja2LWaterFull       = "Water Bottle",
	ItemName_LDK.FantaUva2L         			= "Fanta Grape Bottle",
	ItemName_LDK.FantaUva2LEmpty         		= "Empty Fanta Grape Bottle",
	ItemName_LDK.FantaUva2LWaterFull         	= "Water Bottle",
	ItemName_LDK.Guarana2L         				= "Guarana Antarctica Bottle",
	ItemName_LDK.Guarana2LEmpty         		= "Empty Guarana Antarctica Bottle",
	ItemName_LDK.Guarana2LWaterFull         	= "Water Bottle",
	ItemName_LDK.Pepsi2L         				= "Pepsi Bottle",
	ItemName_LDK.Pepsi2LEmpty         			= "Empty Pepsi Bottle",
	ItemName_LDK.Pepsi2LWaterFull         		= "Water Bottle",
	ItemName_LDK.PepsiBlack2L         			= "Pepsi Black Bottle",
	ItemName_LDK.PepsiBlack2LEmpty         		= "Empty Pepsi Black Bottle",
	ItemName_LDK.PepsiBlack2LWaterFull         	= "Water Bottle",
	ItemName_LDK.SukitaLaranja2L         		= "Sukita Orange Bottle",
	ItemName_LDK.SukitaLaranja2LEmpty         	= "Empty Sukita Orange Bottle",
	ItemName_LDK.SukitaLaranja2LWaterFull       = "Water Bottle",
	ItemName_LDK.SukitaUva2L         			= "Sukita Grape Bottle",
	ItemName_LDK.SukitaUva2LEmpty         		= "Empty Sukita Grape Bottle",
	ItemName_LDK.SukitaUva2LWaterFull         	= "Water Bottle",
}


    
